naics,year,cap,plant,equip,invest,cap_labor_ratio,emp,prode,non_prod_workers,pay,prodh,prodw,matcost
311920,2026,4535.1,1467.8,3067.3,187.2,285.22641509433964,15.9,10.6,5.300000000000001,960.0,23.6,556.2,8957.1
311920,2027,4535.1,1467.8,3067.3,187.2,285.22641509433964,15.9,10.6,5.300000000000001,960.0,23.6,556.2,8957.1
311930,2024,2424.3,738.7,1685.6,305.3,351.3478260869565,6.9,4.2,2.7,471.4,8.8,227.6,2804.2
311930,2025,2424.3,738.7,1685.6,305.3,351.3478260869565,6.9,4.2,2.7,471.4,8.8,227.6,2804.2
311930,2026,2424.3,738.7,1685.6,305.3,351.3478260869565,6.9,4.2,2.7,471.4,8.8,227.6,2804.2
311930,2027,2424.3,738.7,1685.6,305.3,351.3478260869565,6.9,4.2,2.7,471.4,8.8,227.6,2804.2
311941,2024,3198.9,986.5,2212.4,497.6,209.078431372549,15.3,11.0,4.300000000000001,820.9,22.6,514.6,4588.9
311941,2025,3198.9,986.5,2212.4,497.6,209.078431372549,15.3,11.0,4.300000000000001,820.9,22.6,514.6,4588.9
311941,2026,3198.9,986.5,2212.4,497.6,209.078431372549,15.3,11.0,4.300000000000001,820.9,22.6,514.6,4588.9
311941,2027,3198.9,986.5,2212.4,497.6,209.078431372549,15.3,11.0,4.300000000000001,820.9,22.6,514.6,4588.9
311942,2024,2596.9,788.4,1808.5,321.1,144.27222222222224,18.0,11.7,6.300000000000001,1202.3,23.6,555.8,5903.3
311942,2025,2596.9,788.4,1808.5,321.1,144.27222222222224,18.0,11.7,6.300000000000001,1202.3,23.6,555.8,5903.3
311942,2026,2596.9,788.4,1808.5,321.1,144.27222222222224,18.0,11.7,6.300000000000001,1202.3,23.6,555.8,5903.3
311942,2027,2596.9,788.4,1808.5,321.1,144.27222222222224,18.0,11.7,6.300000000000001,1202.3,23.6,555.8,5903.3
311991,2024,3555.9,937.4,2618.6,395.1,74.70378151260505,47.6,36.2,11.399999999999999,1784.3,77.1,1127.7,7890.8
311991,2025,3555.9,937.4,2618.6,395.1,74.70378151260505,47.6,36.2,11.399999999999999,1784.3,77.1,1127.7,7890.8
311991,2026,3555.9,937.4,2618.6,395.1,74.70378151260505,47.6,36.2,11.399999999999999,1784.3,77.1,1127.7,7890.8
311991,2027,3555.9,937.4,2618.6,395.1,74.70378151260505,47.6,36.2,11.399999999999999,1784.3,77.1,1127.7,7890.8
311999,2024,5078.8,1470.2,3608.6,390.1,195.33846153846156,26.0,18.9,7.100000000000001,1291.1,39.5,766.2,7692.9
311999,2025,5078.8,1470.2,3608.6,390.1,195.33846153846156,26.0,18.9,7.100000000000001,1291.1,39.5,766.2,7692.9
